ERAID|Title|Acronym|Rank|FoR1|FoR1 Name|FoR2|FoR2 Name|FoR3|FoR3 Name
42375|AIAA Aerospace Sciences Meeting||B|0901|Aerospace Engineering||||
42442|Asian Congress of Fluid Mechanics||A|0901|Aerospace Engineering|0913|Mechanical Engineering||
42446|Asian Symposium on Visualization||B|0901|Aerospace Engineering|0913|Mechanical Engineering||
42627|Conference and Symposium of the International Committee on Aeronautical Fatigue||A|0901|Aerospace Engineering|0913|Mechanical Engineering||
42813|European Turbulence Conference||A|0901|Aerospace Engineering|0913|Mechanical Engineering||
43592|International Congress Aeronautical Sciences||B|0901|Aerospace Engineering|0913|Mechanical Engineering||
43606|International Fatigue Congress||A|0901|Aerospace Engineering|0913|Mechanical Engineering|0910|Manufacturing Engineering
44130|Turbulence and Shear Flow Phenomena||A|0901|Aerospace Engineering|0913|Mechanical Engineering||
42464|Association for Computer Aided Design in Architecture (ACADIA) Conference|ACADIA|A|1201|Architecture||||
42465|Association for Computer-Aided Architectural Design Research in Asia (CAADRIA) annual conference|CAADRIA|B|1201|Architecture|1203|Design Practice and Management|0803|Computer Software
42467|Association of Architecture Schools of Australasia Annual Conference (AASA)|AASA|C|1201|Architecture||||
42468|Association of Collegiate Schools of Architecture (ACSA) Annual Meeting|ACSA|B|1201|Architecture||||
42517|Australian and New Zealand Architectural Science Association (ANZAScA) Annual Conference|ANZAScA|B|1201|Architecture|1202|Building||
42580|CAADFutures Biennial conference|CAADFutures|A|1201|Architecture||||
42588|Centre for Asian and Middle Eastern Architecture conference|CAMEA|A|1201|Architecture||||
42662|Conference on Spatial Information Theory|COSIT|C|1201|Architecture||||
42668|ConnectED: International Conference on Design Education|ConnectED|C|1201|Architecture|1203|Design Practice and Management||
42672|Construction Applications to Virtual Reality Conference|CONVR|C|1201|Architecture||||
42702|Design Computing and Cognition|DCC|A|1201|Architecture|1203|Design Practice and Management||
42736|Education and Research in Computer Aided Architectural Design in Europe|eCAADe|B|1201|Architecture||||
42864|Globalisation and Landscape Architecture: Issues for Education and Practice||Not ranked|1201|Architecture||||
42889|Identity and Globalisation: Design for the City||Not ranked|1201|Architecture||||
43162|Interior Design Educators Association (IDEA) Conference|IDEA|B|1201|Architecture||||
43163|Interiors Forum Scotland conference|IFS|B|1201|Architecture||||
43164|Interiors Forum World, Politecnico di Milano|IFW|B|1201|Architecture||||
43167|International Association for the Study of Traditional Environments (US)|IASTE|B|1201|Architecture||||
43170|International Association of Societies of Design Research|IASDR|B|1201|Architecture|1203|Design Practice and Management||
43543|International Conference on Sustainability in Energy and Buildings|SEB|A|1201|Architecture|1202|Building||
43594|International Congress of Construction History|ICCH|B|1201|Architecture||||
43636|International Network for Tropical Architecture conferences|INTA|C|1201|Architecture||||
43923|Modern Asian Architecture Network conferences|mAAN|C|1201|Architecture||||
43944|New Heritage: Beyond Verisimilitude. Conference on Cultural Heritage and New Media. Proceedings of the New Heritage Conference||Not ranked|1201|Architecture||||
43983|Passive and Low Energy Architecture (PLEA) Annual International Conference|PLEA|A|1201|Architecture||||
44044|Society of Architectural Historians, Australia and New Zealand (SAHANZ) Annual Conference|SAHANZ|A|1201|Architecture|1205|Urban and Regional Planning||
44067|State of Australian Cities (SOAC) Conference|SOAC|A|1201|Architecture|1202|Building|1205|Urban and Regional Planning
44143|Urban History Planning History (Australasia)|UHPH|B|1201|Architecture|1205|Urban and Regional Planning||
44262|World Sustainable Building Conference|SB|C|1201|Architecture|1202|Building||
42269|3-D Digital Imaging and Modelling|3DIM|C|0801|Artificial Intelligence and Image Processing||||
42307|ACM SIG International Conference on Computer Graphics and Interactive Techniques|SIGGRAPH|A|0801|Artificial Intelligence and Image Processing||||
42311|ACM SIGGRAPH/Eurographics Symposium on Computer Animation|SCA|B|0801|Artificial Intelligence and Image Processing||||
42337|ACM Virtual Reality Software and Technology|VRST|A|0801|Artificial Intelligence and Image Processing||||
42343|ACM Workshop on Secure Web Services|SWS|C|0801|Artificial Intelligence and Image Processing||||
42353|ACM/SPIE Multimedia Computing and Networking|MMCN|A|0801|Artificial Intelligence and Image Processing||||
42357|ACM-SIGRAPH Interactive 3D Graphics|I3DG|A|0801|Artificial Intelligence and Image Processing||||
42361|Advanced Concepts for Intelligent Vision Systems|ACIVS|B|0801|Artificial Intelligence and Image Processing||||
42362|Advanced Course on Artificial Intelligence|ACAI|C|0801|Artificial Intelligence and Image Processing||||
42365|Advanced Visual Interfaces|AVI|B|0801|Artificial Intelligence and Image Processing||||
42368|Advances in Intelligent Systems|AIS|C|0801|Artificial Intelligence and Image Processing||||
42371|Advances in Neural Information Processing Systems|NIPS|A|0801|Artificial Intelligence and Image Processing||||
42373|Agent-Oriented Information Systems Workshop|AOIS|B|0801|Artificial Intelligence and Image Processing||||
42374|Agent-Oriented Software Engineering Workshop|AOSE|C|0801|Artificial Intelligence and Image Processing|0803|Computer Software||
42382|Ambient Intelligence Developments|Aml.d|C|0801|Artificial Intelligence and Image Processing||||
